p,r,f,k
0.5454545454545454,0.47368421052631576,0.5070422535211268,8
0.2894736842105263,0.34375,0.3142857142857143,8
0.375,0.375,0.375,8
0.3076923076923077,0.27586206896551724,0.29090909090909095,8
0.46511627906976744,0.5405405405405406,0.5,8
0.5365853658536586,0.5789473684210527,0.5569620253164557,8
0.4375,0.3684210526315789,0.39999999999999997,8
0.4864864864864865,0.42857142857142855,0.4556962025316456,8
0.5,0.34146341463414637,0.40579710144927533,8
0.4791666666666667,0.6571428571428571,0.5542168674698795,9
0.4117647058823529,0.42424242424242425,0.41791044776119407,9
0.34210526315789475,0.43333333333333335,0.3823529411764707,9
0.4666666666666667,0.5675675675675675,0.5121951219512195,9
0.5121951219512195,0.5675675675675675,0.5384615384615384,9
0.425,0.4594594594594595,0.44155844155844154,9
0.36363636363636365,0.48484848484848486,0.4155844155844156,9
0.4,0.4,0.4000000000000001,9
0.3783783783783784,0.45161290322580644,0.411764705882353,9
0.34782608695652173,0.48484848484848486,0.4050632911392405,9
0.375,0.4411764705882353,0.4054054054054054,9
0.3958333333333333,0.5428571428571428,0.4578313253012048,9
0.4418604651162791,0.5,0.46913580246913583,9
0.34782608695652173,0.45714285714285713,0.3950617283950617,9
0.3877551020408163,0.5277777777777778,0.44705882352941173,9
0.40540540540540543,0.4838709677419355,0.4411764705882353,9
0.3939393939393939,0.3939393939393939,0.3939393939393939,9
0.43902439024390244,0.5454545454545454,0.48648648648648646,9
0.3541666666666667,0.5862068965517241,0.4415584415584416,9
0.4,0.5454545454545454,0.4615384615384615,9
0.46153846153846156,0.6486486486486487,0.5393258426966292,9
